,SF,V,D,R,A,H,Di,UA_a,UA_g,UA_x
0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
1,0.25,72.96244438776368,4.529008801176328,2.264504400588164,16.110024862131638,4.52900880117633,0.452900880117633,0.00451080696139686,0.09600697885274728,0.006274770217347676
2,0.5,145.92488877552736,5.7061935237612005,2.8530967618806002,25.573070413381615,5.706193523761201,0.5706193523761202,0.007160459715746853,0.12096121359338824,0.012549540434695352
3,0.75,218.88733316329106,6.53196099741503,3.265980498707515,33.510202104684005,6.531960997415033,0.6531960997415034,0.009382856589311525,0.1384660239968872,0.018824310652043028
4,1.0,291.84977755105473,7.189353335360537,3.5946766676802686,40.59471887625881,7.18935333536054,0.718935333536054,0.011366521285352468,0.1524015792271397,0.025099080869390705
