,SF,V,D,R,A,H,Di,UA_a,UA_g,UA_x
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.25,1751.098665306329,13.06392199483006,6.53196099741503,134.04080841873602,13.06392199483007,1.306392199483007,0.0375314263572461,0.2769320479937744,0.15059448521634428
2,0.5,3502.197330612658,16.459510315471015,8.229755157735507,212.7765202905694,16.45951031547103,1.6459510315471029,0.05957742568135946,0.3489125166578536,0.30118897043268855
3,0.75,5253.295995918986,18.841435883573155,9.420717941786577,278.8161172206122,18.841435883573165,1.8841435883573165,0.07806851282177144,0.39940512722337174,0.4517834556490328
4,1.0,7004.394661225316,20.737683517423736,10.368841758711868,337.7616721433829,20.73768351742375,2.073768351742375,0.09457326820014723,0.4396022243090254,0.6023779408653771
